Plant species,Plant variety,Plant genotype,Plant mutant ,Mutant type,Plant age (weeks),Tissue,ABA treatment,App method,Concentration (μm),Pathogen type,Pathogen lifestyle,Pathogen species,Elicitor,% Resistance Change,Binary,Ref
Arabidopsis,,abi4-1,ABA,ABA insensitive,4,Leaves,N/A,N/A,0,Oomycete,Necrotrophic,P. irregulare,N/A,-209.0909091,Susceptible,Adie et al 2007
Arabidopsis,,npq2-2,ABA,ABA deficient,5,Leaves,N/A,N/A,0,Fungus,Necrotrophic,A. brassicola,N/A,-168.4210526,Susceptible,Flors et al 2007
Arabidopsis,,Col-0,WT,WT,6,Leaves,ABA,Spray,80,Fungus,Biotrophic,G. cichoracearum,N/A,-167.8571429,Susceptible,Xiao et al 2017
Arabidopsis,,abi4-1,ABA,ABA insensitive,6,Leaves,ABA,Spray,80,Fungus,Biotrophic,G. cichoracearum,N/A,-167.8571429,Susceptible,Xiao et al 2017
Arabidopsis,,pmr4,OTHER,callose production,4,Leaves,N/A,N/A,0,Oomycete,Necrotrophic,P. irregulare,N/A,-163.6363636,Susceptible,Adie et al 2007
Tomato,Money Maker,WT,WT,WT,3,Leaves,ABA,spray,10,Fungus,Necrotrophic,B. cinerea,N/A,-150,Susceptible,Achuo et al 2006
Tomato,Money Maker,sitiens,ABA,ABA deficient,5,Leaves,ABA,soil drench,10,Fungus,Necrotrophic,B. cinerea,N/A,-150,Susceptible,Audenaert et al
Arabidopsis,,pmr4-1,OTHER,callose defficient,5,Leaves,N/A,N/A,0,Fungus,Necrotrophic,A. brassicola,BABA,-150,Susceptible,Flors et al 2007
Tomato,Money Maker,sitiens,ABA,ABA deficient,4,Leaves,ABA,phys supp,100,Bacterium,Necrotrophic,E. chrysanthemi,N/A,-145.3961456,Susceptible,Asselbergh et al 2008
Tomato,Money Maker,WT,WT,WT,3,Leaves,ABA,spray,50,Fungus,Biotrophic,O. neolycopersici,N/A,1.652892562,Resistant,Achuo et al 2006
Tomato,Money Maker,WT,WT,WT,3,Leaves,ABA,spray,10,Fungus,Biotrophic,O. neolycopersici,N/A,2.231404959,Resistant,Achuo et al 2006
Tomato,Money Maker,WT,WT,WT,3,Leaves,ABA,spray,1000,Fungus,Biotrophic,O. neolycopersici,N/A,3.884297521,Resistant,Achuo et al 2006
Tomato,Money Maker,WT,WT,WT,3,Leaves,ABA,spray,750,Fungus,Necrotrophic,B. cinerea,N/A,6.578947368,Resistant,Achuo et al 2006
Tomato,Money Maker,WT,WT,WT,3,Leaves,ABA,spray,100,Fungus,Biotrophic,O. neolycopersici,N/A,8.842975207,Resistant,Achuo et al 2006
Tomato,Money Maker,WT,WT,WT,3,Leaves,ABA,spray,500,Fungus,Biotrophic,O. neolycopersici,N/A,9.669421488,Resistant,Achuo et al 2006
Tomato,Money Maker,WT,WT,WT,3,Leaves,ABA,spray,750,Fungus,Biotrophic,O. neolycopersici,N/A,12.39669421,Resistant,Achuo et al 2006
